Date,Open,High,Low,Close,Adj Close,Volume
2022-09-27,30.760000,30.799999,29.900000,30.049999,30.006386,7256200
2022-09-28,30.049999,30.639999,29.809999,30.320000,30.275993,5869400
2022-09-29,30.010000,30.240000,29.580000,30.139999,30.096254,9294800
2022-09-30,30.850000,32.180000,30.549999,32.139999,32.093353,15921500
2022-10-03,32.330002,33.630001,31.330000,33.580002,33.531265,14750100
2022-10-04,33.799999,34.139999,32.919998,33.240002,33.191757,5980900
2022-10-05,33.360001,33.950001,32.650002,33.669998,33.621132,6648500
2022-10-06,33.990002,34.180000,33.660000,33.730000,33.681046,5312700
2022-10-07,33.720001,33.840000,33.020000,33.349998,33.301594,4132400
2022-10-10,33.580002,34.389999,33.560001,34.270000,34.220261,5924600
2022-10-11,34.200001,34.639999,33.740002,33.900002,33.850800,6250100
2022-10-13,33.580002,34.000000,33.040001,33.470001,33.421425,6147300
2022-10-14,33.480000,33.840000,32.349998,32.860001,32.812309,6263600
2022-10-17,32.889999,33.919998,32.630001,33.610001,33.561218,7601300
2022-10-18,33.980000,35.029999,33.970001,34.560001,34.509842,9402000
2022-10-19,34.480000,34.770000,34.279999,34.650002,34.599712,4180600
2022-10-20,34.740002,34.840000,34.209999,34.660000,34.609695,7265000
2022-10-21,34.639999,35.509998,34.470001,35.200001,35.148911,6512600
2022-10-24,34.860001,35.160000,34.360001,34.919998,34.869316,8644200
2022-10-25,34.790001,35.840000,34.730000,35.049999,34.999130,11524300
2022-10-26,36.790001,38.959999,36.610001,37.980000,37.924877,28711200
2022-10-27,37.830002,39.410000,37.529999,38.830002,38.773643,10912300
2022-10-28,38.630001,39.250000,37.880001,38.470001,38.414165,7314600
2022-10-31,37.700001,40.599998,37.450001,40.279999,40.221539,12566800
2022-11-01,40.049999,40.490002,39.160000,39.410000,39.352802,11428100
2022-11-03,38.860001,40.500000,38.000000,40.200001,40.141655,8951600
2022-11-04,40.299999,41.490002,40.290001,40.799999,40.740784,12213700
2022-11-07,40.299999,41.889999,40.299999,40.900002,40.840641,10878700
2022-11-08,40.900002,42.419998,40.480000,40.799999,40.740784,13437300
2022-11-09,40.750000,41.689999,40.139999,40.599998,40.541073,8842100
2022-11-10,40.150002,40.750000,38.250000,39.230000,39.173061,18520800
2022-11-11,39.139999,40.320000,38.369999,39.990002,39.931961,9507500
2022-11-14,40.000000,41.169998,39.639999,40.660000,40.600986,6076200
2022-11-16,40.400002,40.680000,38.320000,38.709999,38.653816,14823500
2022-11-17,38.310001,39.759998,37.520000,39.549999,39.492596,8238900
2022-11-18,39.560001,40.279999,39.099998,39.279999,39.222988,6672000
2022-11-21,39.389999,39.840000,38.860001,39.490002,39.432686,4928900
2022-11-22,39.650002,40.000000,38.290001,38.900002,38.843544,7992000
2022-11-23,38.779999,39.259998,38.400002,38.939999,38.883484,5489100
2022-11-24,39.200001,40.570000,39.060001,39.759998,39.702293,5489500
2022-11-25,39.779999,39.790001,38.599998,39.099998,39.043251,4690200
2022-11-28,38.820000,38.820000,37.270000,37.500000,37.445572,7981800
2022-11-29,37.419998,38.500000,36.430000,37.709999,37.655270,9077200
2022-11-30,37.709999,39.240002,37.529999,39.000000,38.943398,12458900
2022-12-01,38.810001,39.349998,38.009998,38.310001,38.254398,6962500
2022-12-02,38.380001,39.380001,37.860001,38.660000,38.603889,6555700
